EmployeeID,Age,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_num
129,37,10,1,1,133410,1.0,14,1,18.0,3,18,12,17,0
130,40,6,2,3,43320,7.0,14,2,8.0,3,5,1,3,0
131,42,2,3,4,110310,3.0,12,1,8.0,2,5,1,2,0
132,37,9,1,3,44400,2.0,11,1,18.0,3,1,0,1,0
133,43,10,2,1,46170,1.0,11,0,25.0,2,25,3,9,0
134,40,6,2,1,26470,6.0,13,0,20.0,2,1,0,0,0
135,54,9,3,2,63230,4.0,23,1,24.0,2,4,1,2,0
136,34,28,3,1,56770,9.0,20,1,6.0,3,3,1,2,0
137,31,10,4,3,21870,1.0,15,1,13.0,2,13,3,12,0
139,43,27,4,2,39770,4.0,18,1,8.0,3,5,0,2,0
140,25,7,2,1,86330,1.0,19,1,5.0,2,5,1,3,0
141,37,1,3,3,20080,3.0,22,0,15.0,5,13,10,7,0
142,31,24,1,3,44400,1.0,13,1,4.0,2,4,3,2,0
143,39,26,4,1,30670,1.0,20,1,21.0,5,21,1,6,0
144,56,20,4,3,53210,9.0,14,0,36.0,1,7,7,7,0
145,30,5,4,2,54100,0.0,17,1,6.0,2,5,4,4,0
146,41,7,3,3,27820,1.0,14,0,10.0,2,10,0,7,0
147,28,7,3,3,119570,1.0,13,0,10.0,2,10,1,8,0
148,25,5,2,3,26600,5.0,13,0,6.0,3,2,0,2,1
149,52,26,2,2,33750,2.0,21,0,28.0,2,5,0,4,0
150,45,2,3,1,50980,3.0,14,1,8.0,4,2,0,2,0
151,52,12,3,2,48780,2.0,11,1,31.0,3,5,1,4,0
152,42,10,3,2,28370,2.0,13,1,19.0,0,5,0,2,0
153,30,25,3,1,24060,2.0,20,1,11.0,5,5,0,2,0
154,60,10,3,1,22690,5.0,18,1,33.0,4,29,11,10,0
155,46,19,4,1,41080,2.0,14,0,19.0,5,10,0,8,0
156,42,18,4,4,132060,0.0,13,2,7.0,2,6,0,4,0
157,24,27,2,1,104220,1.0,17,1,6.0,0,5,1,4,1
158,34,5,3,2,137440,0.0,20,1,3.0,3,2,1,0,1
159,38,3,3,2,49070,1.0,11,1,1.0,3,1,0,0,0
160,40,26,4,1,34820,0.0,18,1,21.0,2,20,1,12,0
161,26,3,2,4,24360,1.0,24,0,3.0,2,3,0,2,0
162,30,15,3,2,23800,4.0,18,3,9.0,2,5,1,4,0
163,29,8,3,3,194310,1.0,11,0,10.0,3,10,0,7,0
164,29,19,4,3,17900,5.0,16,1,6.0,4,2,1,1,1
165,19,4,3,1,76440,1.0,15,2,1.0,2,1,0,0,1
166,30,2,4,3,51310,0.0,15,1,10.0,2,9,7,8,0
167,57,2,2,4,63060,3.0,12,1,32.0,3,1,0,0,0
168,50,10,4,3,47870,0.0,12,0,28.0,3,27,15,7,0
169,30,10,2,3,188800,0.0,22,1,12.0,3,11,6,7,0
170,60,16,3,4,23390,4.0,20,0,22.0,4,18,13,11,0
171,47,1,3,5,135700,5.0,16,2,20.0,2,5,0,4,0
172,46,4,1,1,67120,6.0,21,1,26.0,3,3,0,1,0
173,35,15,2,2,54060,0.0,12,1,6.0,2,5,4,3,0
174,54,2,4,2,89380,7.0,11,3,19.0,2,1,0,0,0
175,34,8,2,1,24390,3.0,11,2,14.0,2,7,5,7,0
176,46,2,3,1,88370,2.0,18,0,15.0,3,3,1,2,0
177,31,7,3,2,53430,1.0,14,1,13.0,3,13,0,8,0
178,33,10,3,4,67280,7.0,22,0,15.0,2,7,7,7,1
179,33,5,4,2,66520,7.0,25,0,8.0,5,4,1,3,1
180,30,2,3,1,48500,0.0,12,1,4.0,4,3,1,2,0
181,35,12,2,2,28090,4.0,23,1,10.0,2,8,0,0,0
182,31,22,2,2,56890,3.0,15,2,12.0,2,1,0,0,1
183,34,17,1,1,20010,9.0,22,1,11.0,5,3,0,2,1
184,42,2,4,1,29770,4.0,15,3,8.0,3,2,2,0,0
185,36,3,4,1,40250,1.0,11,0,10.0,3,10,9,7,0
186,22,7,3,2,37850,5.0,13,2,4.0,2,2,1,2,1
187,48,6,3,1,108540,2.0,14,1,14.0,6,9,6,7,0
188,55,1,3,1,120310,3.0,11,0,37.0,5,10,7,7,0
189,41,3,2,2,99360,7.0,17,1,16.0,2,14,1,10,0
190,35,22,3,1,29660,9.0,18,0,15.0,2,11,6,9,0
191,40,15,3,2,25710,7.0,14,0,22.0,1,20,5,13,0
192,39,12,1,1,99910,1.0,16,1,8.0,3,8,0,7,0
193,31,1,4,3,61420,4.0,13,2,10.0,2,6,0,5,0
194,42,5,3,3,53900,1.0,14,0,10.0,3,10,5,8,0
195,45,2,1,4,44040,0.0,23,0,9.0,2,8,3,7,0
196,26,2,1,2,59930,0.0,12,0,8.0,3,7,1,0,1
197,29,5,3,1,51300,4.0,11,0,8.0,3,3,1,2,0
198,33,16,3,1,20900,4.0,16,0,10.0,2,6,0,5,0
199,31,2,4,1,29090,9.0,14,2,10.0,2,5,0,1,0
200,18,2,3,1,34680,1.0,18,2,0.0,4,0,0,0,1
201,40,1,4,2,30680,3.0,19,0,20.0,3,1,0,1,0
202,41,23,3,2,26700,2.0,15,2,10.0,2,8,0,7,0
203,26,9,4,3,26930,5.0,17,3,8.0,3,0,0,0,0
204,35,16,4,2,95260,1.0,15,0,5.0,2,5,0,3,0
205,34,26,3,1,52370,1.0,19,1,10.0,3,10,5,7,0
206,26,1,3,2,24260,1.0,22,0,1.0,3,1,0,0,1
207,37,8,1,1,41930,4.0,16,1,12.0,5,6,1,2,0
208,46,4,1,5,29110,5.0,13,0,28.0,3,2,1,2,0
209,41,24,1,1,26610,7.0,14,1,22.0,2,18,11,8,0
210,37,7,2,1,20280,1.0,16,1,9.0,3,9,7,7,0
212,32,7,2,2,32980,8.0,22,0,6.0,4,4,1,2,1
213,24,22,3,1,29350,0.0,14,2,3.0,5,2,2,1,0
214,38,5,3,1,154270,3.0,16,1,18.0,2,1,0,0,0
215,37,1,4,5,39440,6.0,11,2,8.0,3,6,4,3,0
216,49,21,1,1,40110,1.0,18,2,31.0,2,31,0,9,0
217,24,1,3,1,34070,1.0,15,2,6.0,2,6,1,4,0
218,26,19,4,4,119940,1.0,14,1,6.0,6,5,1,4,0
219,24,7,3,1,12320,1.0,12,0,1.0,4,1,0,0,0
220,50,2,2,1,29600,1.0,14,3,32.0,2,32,10,7,0
221,25,2,3,1,190940,1.0,16,0,7.0,3,7,0,6,0
222,24,2,3,2,39190,1.0,21,0,6.0,3,6,1,2,1
223,30,9,3,2,68250,1.0,14,0,1.0,2,1,0,0,1
224,34,6,2,4,102480,1.0,12,1,6.0,4,6,1,3,0
225,31,9,1,1,189470,2.0,12,2,9.0,2,3,1,2,1
226,35,2,3,5,24960,4.0,17,3,9.0,3,3,0,2,0
227,31,1,3,2,64650,4.0,17,0,13.0,3,7,5,7,0
228,27,22,4,1,22060,0.0,14,1,6.0,4,5,0,3,0
229,37,9,4,2,20860,4.0,14,0,17.0,3,3,1,0,0
230,20,17,4,1,22930,1.0,13,2,1.0,3,1,0,0,0
231,42,28,4,2,26450,1.0,15,0,10.0,5,10,2,2,0
232,43,10,5,2,26830,4.0,11,0,21.0,3,1,0,0,0
233,38,2,4,1,20140,3.0,17,1,8.0,5,0,0,0,0
234,43,4,3,2,34190,3.0,11,1,10.0,5,8,4,7,0
235,48,8,1,2,53760,7.0,13,1,21.0,3,3,0,2,0
236,44,29,4,2,19510,4.0,22,3,10.0,4,2,0,2,0
237,34,13,4,1,23410,1.0,20,2,8.0,3,8,0,6,0
238,27,27,3,2,22930,0.0,18,0,5.0,0,4,0,2,1
239,21,16,2,3,87260,1.0,11,1,3.0,2,3,1,2,0
240,44,2,2,1,40110,4.0,14,1,26.0,2,2,0,1,0
241,22,2,2,2,195450,0.0,14,0,3.0,3,2,2,2,0
242,33,13,4,2,45680,0.0,18,1,6.0,2,5,1,2,0
243,32,1,1,1,30220,1.0,16,1,6.0,3,6,0,5,0
244,30,4,5,3,57720,1.0,17,0,1.0,3,1,0,0,0
245,53,24,3,3,22690,7.0,11,1,18.0,2,14,8,10,0
246,34,1,5,1,53810,1.0,12,0,10.0,0,10,8,8,0
247,45,19,4,3,34410,2.0,13,1,5.0,5,1,0,0,1
248,26,7,2,1,54540,1.0,13,1,3.0,5,3,0,2,0
249,37,4,3,1,98840,1.0,14,0,10.0,3,10,7,8,0
250,29,2,3,1,41570,1.0,17,3,6.0,2,6,1,2,0
251,35,10,5,4,134580,1.0,11,0,17.0,3,17,11,8,0
252,33,8,3,2,90690,3.0,25,1,15.0,3,13,4,7,0
253,54,5,2,2,40140,2.0,19,1,16.0,4,9,7,1,0
254,36,8,3,2,59150,2.0,13,1,13.0,3,3,0,2,0
255,27,9,3,5,59930,0.0,14,1,5.0,3,4,1,1,0
256,20,1,3,5,61620,1.0,12,3,1.0,2,1,1,1,1
257,33,15,4,1,24060,1.0,11,0,10.0,3,10,9,7,1
258,35,2,1,1,187400,1.0,19,1,1.0,2,1,0,0,0
259,23,2,3,1,76370,2.0,11,1,5.0,3,3,0,2,0
260,25,11,3,2,100960,0.0,11,1,4.0,3,3,1,2,0
261,38,16,3,5,147560,0.0,20,1,8.0,3,7,0,5,0
262,29,2,4,4,64990,1.0,18,3,10.0,3,10,2,8,0
263,48,16,3,1,97240,3.0,13,0,12.0,2,2,2,2,0
264,27,4,3,5,21940,1.0,12,0,6.0,5,6,0,4,0
265,37,16,3,3,33880,3.0,11,0,4.0,2,1,0,0,0
266,50,5,3,1,54730,1.0,19,1,20.0,2,20,3,8,0
267,34,18,1,1,27030,1.0,21,1,9.0,2,8,7,7,0
268,24,17,2,1,25010,9.0,12,0,4.0,3,2,2,0,1
269,39,12,5,1,62200,1.0,14,2,20.0,2,20,11,10,0
270,32,2,3,5,30380,1.0,11,0,10.0,5,10,0,8,0
271,50,4,2,4,44240,3.0,14,1,18.0,2,4,1,3,1
272,38,9,4,1,43120,0.0,12,1,10.0,2,9,1,8,0
273,27,10,3,5,132450,1.0,23,1,9.0,3,9,0,7,0
274,32,1,3,2,136640,3.0,14,0,10.0,6,7,7,7,0
275,47,2,3,5,50210,2.0,17,0,20.0,3,7,1,7,0
276,40,3,4,3,51260,5.0,18,0,20.0,2,18,1,12,0
277,53,7,1,2,28590,3.0,18,1,32.0,2,5,1,3,0
278,41,6,3,1,102390,3.0,24,3,23.0,3,21,12,6,0
279,60,8,2,5,53290,8.0,20,0,10.0,3,2,2,2,0
280,27,29,1,2,43250,1.0,14,0,9.0,2,9,1,7,0
281,41,3,3,1,72600,1.0,16,0,22.0,2,22,2,10,0
282,50,9,3,2,23220,7.0,25,1,4.0,0,2,2,2,0
283,28,2,4,3,20750,7.0,18,3,10.0,0,7,3,7,1
284,36,10,4,2,41520,9.0,19,1,10.0,3,8,0,5,0
285,38,1,3,3,96190,4.0,13,1,10.0,2,1,0,0,0
286,44,8,2,1,135030,2.0,12,0,9.0,6,5,1,4,0
287,47,27,3,1,54410,9.0,22,1,28.0,6,22,11,13,0
288,30,8,3,2,52090,7.0,14,1,10.0,3,8,7,7,0
289,29,1,2,1,106730,1.0,13,3,1.0,2,1,0,0,0
290,42,10,1,1,50100,6.0,21,3,7.0,3,2,2,2,1
291,43,26,1,1,135490,3.0,11,2,7.0,3,2,2,2,0
292,34,2,5,2,49990,3.0,12,2,10.0,2,5,4,3,0
293,23,13,3,5,42210,1.0,11,1,5.0,4,4,0,2,0
294,39,2,4,4,138720,9.0,12,3,12.0,3,8,3,6,0
295,56,2,4,1,20420,7.0,12,0,30.0,6,10,1,1,0
296,40,9,3,2,20730,0.0,14,0,5.0,3,4,2,3,0
297,27,10,3,1,29560,8.0,13,0,9.0,6,7,0,7,0
298,29,20,3,2,29260,1.0,15,1,2.0,3,2,2,2,0
299,53,9,3,3,48090,2.0,18,0,19.0,2,2,2,2,0
300,35,5,1,1,51630,2.0,18,2,16.0,4,1,0,0,0
301,32,4,4,2,188440,1.0,19,0,10.0,3,10,4,7,0
302,38,10,3,4,181720,6.0,12,2,6.0,5,1,0,1,0
303,34,20,3,3,57440,3.0,19,1,7.0,4,0,0,0,0
304,52,21,5,3,28890,1.0,11,1,34.0,2,34,1,16,0
305,33,1,2,3,28710,1.0,17,3,10.0,2,10,7,8,1
306,25,8,3,2,74840,1.0,15,0,6.0,3,6,1,4,0
307,45,2,3,3,60740,0.0,14,0,9.0,2,8,3,1,0
308,23,23,1,2,173280,1.0,17,1,2.0,2,2,0,2,0
310,34,12,3,1,45050,1.0,12,0,6.0,3,6,1,4,0
311,55,7,3,4,74280,5.0,12,0,24.0,2,5,1,4,1
312,36,7,2,5,116310,1.0,18,1,10.0,2,10,0,9,0
313,52,1,4,5,97380,0.0,18,2,5.0,2,4,1,2,0
314,26,2,2,1,28350,3.0,11,1,5.0,2,2,2,0,0
315,29,10,2,3,169590,4.0,14,3,11.0,5,8,1,1,0
316,26,15,2,2,26130,6.0,19,1,6.0,2,4,1,2,1
317,34,14,4,2,61460,2.0,12,0,10.0,3,4,1,3,0
318,54,18,4,2,49630,9.0,15,1,9.0,2,5,1,4,0
319,27,13,2,4,195370,0.0,12,0,5.0,5,4,1,1,0
320,37,2,4,2,61720,0.0,11,0,6.0,1,5,4,3,0
321,38,2,4,2,23680,6.0,11,1,17.0,3,15,4,12,0
322,34,2,3,1,103120,1.0,12,0,6.0,2,6,1,3,0
323,35,5,4,3,16750,1.0,16,0,3.0,6,3,0,2,0
324,30,20,3,1,25230,3.0,13,1,7.0,2,2,0,2,0
325,40,10,4,2,65670,1.0,13,1,8.0,3,8,3,7,0
326,34,10,3,3,47390,5.0,24,2,6.0,2,3,1,2,0
327,42,9,4,1,92080,1.0,15,1,24.0,2,24,14,9,0
328,23,2,3,4,45590,1.0,18,1,1.0,2,0,0,0,1
329,24,1,5,1,81890,1.0,14,1,1.0,3,1,0,0,0
330,52,29,3,2,29420,8.0,11,1,9.0,1,5,1,4,0
331,50,8,4,2,49410,5.0,11,1,30.0,3,4,0,3,0
332,29,2,4,4,106500,1.0,13,2,1.0,2,1,0,0,1
333,33,3,4,4,59020,0.0,12,1,14.0,2,13,3,7,0
334,33,23,5,1,86390,5.0,16,2,6.0,3,3,0,2,1
335,47,6,4,2,63470,1.0,14,0,26.0,2,26,3,0,0
336,36,6,3,2,42000,0.0,22,0,10.0,3,9,0,5,0
337,29,10,3,1,34520,1.0,11,0,10.0,3,10,0,7,0
338,58,24,3,2,43170,7.0,17,0,40.0,2,31,13,8,1
339,35,10,4,1,26320,3.0,13,3,7.0,3,2,2,2,0
340,42,15,1,2,46680,9.0,18,2,8.0,2,4,0,2,0
341,28,19,4,2,32040,6.0,16,1,5.0,4,2,2,1,1
342,36,2,3,2,27200,4.0,14,1,8.0,3,5,0,4,0
343,32,3,1,2,171810,1.0,14,0,14.0,2,14,6,8,0
345,30,7,3,2,14830,5.0,13,0,12.0,3,0,0,0,0
346,45,10,4,1,56050,1.0,12,2,1.0,2,1,0,0,0
347,42,20,2,2,72950,1.0,15,0,10.0,3,9,7,8,0
348,38,4,3,2,23060,2.0,19,1,13.0,5,4,1,2,0
349,34,7,4,3,23480,1.0,14,1,6.0,3,5,1,3,0
350,49,7,2,2,89980,1.0,14,2,9.0,2,9,7,7,1
351,55,16,3,4,43190,4.0,11,0,12.0,3,9,7,3,1
352,43,25,2,2,61320,6.0,13,0,22.0,3,4,1,0,0
353,27,2,4,2,33460,1.0,21,1,9.0,2,9,0,8,0
354,35,1,3,1,108550,3.0,13,1,17.0,2,8,1,6,0
355,28,1,2,1,22310,1.0,12,0,8.0,3,8,7,5,0
356,34,2,5,4,23230,0.0,17,0,4.0,2,3,0,2,0
357,26,22,4,1,20240,1.0,23,0,8.0,2,8,1,7,1
358,27,1,3,1,27130,1.0,11,0,0.0,2,0,0,0,0
359,51,16,3,3,94390,2.0,15,3,29.0,0,20,4,17,0
360,44,24,5,1,25660,9.0,11,1,10.0,3,5,2,3,0
361,25,17,3,1,199260,7.0,11,3,6.0,5,4,0,1,0
362,33,8,4,3,24510,1.0,13,1,9.0,3,9,0,8,0
363,35,6,4,2,94190,1.0,24,1,6.0,5,6,1,1,0
364,36,10,4,3,86860,1.0,13,0,18.0,2,18,4,11,0
365,32,3,4,4,30380,2.0,20,0,8.0,3,5,0,3,0
366,30,4,5,5,30580,9.0,14,1,10.0,2,5,0,3,0
367,53,6,3,4,23250,7.0,18,1,35.0,1,5,0,4,0
368,45,1,5,2,20880,4.0,15,3,18.0,2,5,0,2,0
369,32,10,3,1,30720,5.0,12,0,9.0,4,5,1,3,0
370,52,1,1,2,50060,3.0,16,1,31.0,2,9,0,0,0
371,37,24,2,4,42570,4.0,15,0,9.0,2,1,0,0,0
372,28,21,4,1,25000,1.0,16,2,6.0,3,5,0,4,0
373,22,2,2,1,11020,6.0,19,0,4.0,3,2,2,2,0
374,44,22,3,1,104530,2.0,11,1,10.0,2,3,0,2,0
375,42,13,4,2,22880,5.0,16,1,8.0,4,2,2,2,0
376,36,14,3,2,39290,0.0,24,0,6.0,6,5,0,3,0
377,25,11,3,1,23110,1.0,11,1,5.0,2,5,0,3,0
378,35,9,2,1,31400,1.0,13,1,17.0,2,17,5,15,0
379,35,8,2,1,36900,1.0,13,1,10.0,2,10,7,8,1
380,32,21,3,1,44500,0.0,13,0,4.0,3,3,0,2,0
381,25,5,3,4,27560,1.0,12,2,5.0,2,5,0,3,0
382,49,9,3,2,190330,2.0,18,1,7.0,5,4,0,2,0
383,24,2,5,2,187220,0.0,22,1,6.0,3,5,3,4,0
384,32,12,5,1,95470,1.0,13,1,10.0,3,10,5,3,0
385,38,22,2,1,137340,0.0,13,0,3.0,3,2,1,2,0
386,42,18,1,2,199990,2.0,23,1,17.0,6,5,1,3,0
387,31,16,3,3,22790,3.0,12,1,8.0,3,6,0,2,0
388,29,3,3,3,59160,6.0,12,0,5.0,2,3,0,2,1
389,53,9,3,1,20890,5.0,16,0,28.0,2,2,2,2,0
390,35,1,3,3,167920,3.0,12,1,16.0,3,13,4,8,0
391,37,13,4,3,35640,5.0,11,0,10.0,1,5,0,0,0
392,53,1,1,1,44250,6.0,22,1,33.0,2,12,3,8,0
393,43,1,3,1,52650,4.0,11,1,12.0,4,5,2,2,0
394,47,15,4,3,65530,0.0,15,0,8.0,2,7,7,7,0
395,37,1,5,2,62610,1.0,12,0,10.0,1,10,0,9,0
396,50,17,3,1,42980,1.0,20,1,31.0,6,31,14,7,0
397,39,1,3,3,68040,8.0,14,1,13.0,3,5,0,4,0
398,33,7,3,2,38150,3.0,11,1,7.0,3,4,0,3,0
